date,cases,deaths,recovered,active,tested,hospitalized,population,population tested percentage,population confirmed,case delta,death delta,recovered delta,active delta,tested delta,hospitalized delta,rolling death rate,rolling recovery rate,rolling confirmation rate,rolling hospitalization rate,rolling active rate,case change,death change,recovered change,active change,tested change,hospitalized change
2020-04-12,555313,22019,67139.0,500306.0,2805892.0,92251.0,328000000,0.008554548780487805,0.0016930274390243901,,,,,,,,,0.19790961305709556,0.18438915383785123,0.9009441522168579,,,,,,
2020-04-13,580619,23528,78924.0,615609.0,2935006.0,92802.0,328000000,0.008948189024390244,0.0017701798780487806,25306.0,1509.0,11785.0,115303.0,129114.0,551.0,0.042368898260980746,0.142125251884973,0.19782548996492683,0.15074828340716268,1.060263270750699,,,,,,
2020-04-14,607670,25831,85408.0,534076.0,3081620.0,101017.0,328000000,0.009395182926829268,0.0018526524390243902,27051.0,2303.0,6484.0,-81533.0,146614.0,8215.0,0.04448872668651904,0.1470981831459184,0.1971917368137538,0.18914349268643413,0.878891503612158,0.06450778159772286,0.34476769431176724,-0.817550894509562,2.4141881201476703,0.11936104328372465,0.9329275715155204
2020-04-15,636350,28325,91501.0,555929.0,3242755.0,103839.0,328000000,0.009886448170731707,0.001940091463414634,28680.0,2494.0,6093.0,21853.0,161135.0,2822.0,0.04661247058436322,0.1505767933253246,0.19623745858074385,0.18678464336273157,0.8736214347450303,0.05679916317991629,0.07658380112269447,-0.06417200065649098,4.730975152153023,0.09011698265429613,-1.9110559886605243
2020-04-16,667801,32916,96735.0,580182.0,3401064.0,108942.0,328000000,0.01036909756097561,0.0020359786585365854,31451.0,4591.0,5234.0,24253.0,158309.0,5103.0,0.05172625127681307,0.15201540033000707,0.1963506126318117,0.18777211288871423,0.8687947457401232,0.0881053066675146,0.4567632324112394,-0.16411922048146743,0.09895683008287637,-0.01785116449475388,0.44699196551048404
2020-04-17,699706,36773,102639.0,604388.0,3541368.0,111972.0,328000000,0.010796853658536585,0.00213325,31905.0,3857.0,5904.0,24206.0,140304.0,3030.0,0.055065805531887495,0.15369698458073588,0.19758070892378313,0.18526509460809942,0.8637742137411999,0.014229744554145163,-0.19030334456831732,0.1134823848238482,-0.001941667355201293,-0.12832848671456265,-0.6841584158415841
2020-04-18,859536,44835,210201.0,655890.0,3690482.0,114029.0,328000000,0.011251469512195121,0.0026205365853658536,159830.0,8062.0,107562.0,51502.0,149114.0,2057.0,0.06407691230316732,0.30041331645005187,0.23290616239287984,0.17385384744393115,0.763074496007148,0.8003816555089783,0.5215827338129496,0.9451107268366151,0.5299988349966991,0.05908231286130072,-0.47301895964997565
2020-04-19,887758,47002,218928.0,675458.0,3865864.0,115792.0,328000000,0.011786170731707317,0.002706579268292683,28222.0,2167.0,8727.0,19568.0,175382.0,1763.0,0.05468299175369036,0.25470486401965714,0.22964025635666438,0.17142738704701108,0.7608582519109938,-4.663312309545744,-2.720350715274573,-11.325197662426952,-1.631950122649223,0.14977591771105359,-0.16676120249574589
2020-04-20,784326,42094,126767.0,669903.0,4003551.0,117363.0,328000000,0.012205948170731708,0.002391237804878049,-103432.0,-4908.0,-92161.0,-5555.0,137687.0,1571.0,0.047416075101547946,0.14279454536033467,0.19590758304315345,0.17519402062686687,0.8541129581322052,1.2728555959470957,1.4415240423797882,1.0946929829320429,4.522592259225922,-0.27377312309804114,-0.1222151495862509
2020-04-21,811865,44444,133321.0,692217.0,4155178.0,120268.0,328000000,0.012668225609756098,0.0024751981707317075,27539.0,2350.0,6554.0,22314.0,151627.0,2905.0,0.05666521318941359,0.16998161478772858,0.1953863348333092,0.1737432048042738,0.8526257444279529,4.755837176368059,3.088510638297872,15.0617943240769,1.2489468495115175,0.09193613274680634,0.4592082616179002
2020-04-22,840220,46622,138885.0,716232.0,4466559.0,121498.0,328000000,0.013617557926829268,0.0025616463414634147,28355.0,2178.0,5564.0,24015.0,311381.0,1230.0,0.057425803551083,0.1710690816822994,0.1881134896012792,0.1696349786102827,0.8524338863630954,0.0287779932992418,-0.07897153351698805,-0.17792954708842568,0.07083073079325419,0.5130499291864308,-1.3617886178861789
2020-04-23,869170,49954,143750.0,739013.0,4660250.0,123621.0,328000000,0.014208079268292683,0.002649908536585366,28950.0,3332.0,4865.0,22781.0,193691.0,2123.0,0.05945347647044821,0.17108614410511533,0.1865071616329596,0.16727851878113104,0.8502513892564171,0.020552677029360922,0.3463385354141657,-0.1436793422404934,-0.05416794697335492,-0.6076172873287866,0.42063118228921337
2020-04-24,905333,51949,180548.0,754305.0,4940376.0,124414.0,328000000,0.015062121951219512,0.0027601615853658536,36163.0,1995.0,36798.0,15292.0,280126.0,793.0,0.05976851478997204,0.2077246108356248,0.18325184156023752,0.16493858585055116,0.8331796145727595,0.19945800956779025,-0.6701754385964913,0.8677917278112941,-0.48973319382683766,0.30855757766148095,-1.6771752837326606
2020-04-25,938154,53755,190817.0,784027.0,5184635.0,126194.0,328000000,0.015806814024390242,0.0028602256097560977,32821.0,1806.0,10269.0,29722.0,244259.0,1780.0,0.05937594233282118,0.21076995978275398,0.18094889997077904,0.16095619155972946,0.8357124736450519,-0.10182505103439876,-0.10465116279069764,-2.5834063686824424,0.48549895700154766,-0.14684003455348615,0.5544943820224719
2020-04-26,965783,54881,197989.0,803914.0,5441079.0,126647.0,328000000,0.016588655487804877,0.0029444603658536584,27629.0,1126.0,7172.0,19887.0,256444.0,453.0,0.05849892448361357,0.21104104443406946,0.17749843367464432,0.1575379953577124,0.8323960972599435,-0.1879184914401535,-0.6039076376554173,-0.4318181818181819,-0.4945441745864132,0.04751524699349563,-2.9293598233995586
2020-04-27,988197,56259,206169.0,820514.0,5593495.0,128673.0,328000000,0.017053338414634148,0.003012795731707317,22414.0,1378.0,8180.0,16600.0,152416.0,2026.0,0.05825221607752466,0.2134734200125701,0.1766689699374005,0.1568199933212596,0.8303141984847151,-0.23266708307307926,0.18287373004354135,0.12322738386308063,-0.19801204819277118,-0.682526768843166,0.776406712734452
2020-04-28,1012582,58355,255235.0,838291.0,5795728.0,106265.0,328000000,0.01766990243902439,0.003087140243902439,24385.0,2096.0,49066.0,17777.0,202233.0,-22408.0,0.0590519906455899,0.2582835203911771,0.17471178771674586,0.12676385646511773,0.8278746807665947,0.08082837810129173,0.3425572519083969,0.8332857783393797,0.06620914665016597,0.24633467337180381,1.0904141378079257
2020-04-29,1039909,60967,268204.0,858222.0,6026170.0,109690.0,328000000,0.018372469512195122,0.003170454268292683,27327.0,2612.0,12969.0,19931.0,230442.0,3425.0,0.06020944476595476,0.2648713881937463,0.17256549350582542,0.1278107529287294,0.8252856740349396,0.10765909174076915,0.19754977029096477,-2.7833294779859665,0.10807285133711309,0.12241258103991459,7.542481751824818
2020-04-30,1069424,62996,153947.0,852481.0,6231182.0,111955.0,328000000,0.018997506097560974,0.0032604390243902437,29515.0,2029.0,-114257.0,-5741.0,205012.0,2265.0,0.060578377531110894,0.1480389149435191,0.17162458101849698,0.13132844016464884,0.7971403297476024,0.07413179739115705,-0.28733366190241494,1.1135072687012613,4.471694826685246,-0.12404151952080844,-0.5121412803532008
2020-05-01,1103461,64943,164015.0,874503.0,6551810.0,121748.0,328000000,0.019975030487804878,0.0033642103658536584,34037.0,1947.0,10068.0,22022.0,320628.0,9793.0,0.06072708299046964,0.15336760723529677,0.16842078753810016,0.13921964818874263,0.7925092051282283,0.13285542204072043,-0.042116076014381054,12.348529996027017,1.2606938516029425,0.36059233753758246,0.768712345552946
2020-05-02,1132539,66369,175382.0,890788.0,6816347.0,123860.0,328000000,0.020781545731707318,0.003452862804878049,29078.0,1426.0,11367.0,16285.0,264537.0,2112.0,0.06014621268898493,0.15893810474497966,0.1661504321889716,0.13904542944000145,0.7865406842501671,-0.17054130270307444,-0.3653576437587658,0.11427817366059645,-0.3522873810254836,-0.21203461141541635,-3.636837121212121
2020-05-03,1158040,67682,180152.0,910206.0,7053366.0,125796.0,328000000,0.021504164634146342,0.003530609756097561,25501.0,1313.0,4770.0,19418.0,237019.0,1936.0,0.059761297403444824,0.15906913580900967,0.1641826044472951,0.13820607642665506,0.7859883941832752,-0.1402690090584684,-0.08606245239908605,-1.383018867924528,0.16134514368112063,-0.1161003970145853,-0.09090909090909083
2020-05-04,1180375,68922,187180.0,924273.0,7285178.0,127397.0,328000000,0.022210908536585364,0.003598704268292683,22335.0,1240.0,7028.0,14067.0,231812.0,1601.0,0.05951607889192083,0.16163517667783497,0.1620241811524715,0.1378348172022768,0.7830333580429948,-0.14175061562569957,-0.058870967741935454,0.32128628343767784,-0.3803938295301059,-0.022462167618587436,-0.20924422236102447
2020-05-05,1204351,71064,189791.0,943496.0,7544328.0,129357.0,328000000,0.023001,0.0036718018292682926,23976.0,2142.0,2611.0,19223.0,259150.0,1960.0,0.06020459599703484,0.1607887323943662,0.15963661707179222,0.1371039198894325,0.7834061664747237,0.06844344344344344,0.42110177404295046,-1.6916890080428955,0.26822036102585445,0.10549102836195257,0.18316326530612248
2020-05-06,1228603,73431,189910.0,965262.0,7759771.0,131477.0,328000000,0.023657838414634147,0.0037457408536585367,24252.0,2367.0,119.0,21766.0,215443.0,2120.0,0.060971427764829354,0.1576865880461759,0.15832980122738158,0.1362086148631149,0.785658182504845,0.011380504700643224,0.09505703422053235,-20.941176470588236,0.11683359367821378,-0.2028703647832606,0.07547169811320753
2020-05-07,1257023,75662,195036.0,986325.0,8105513.0,135176.0,328000000,0.02471192987804878,0.003832387195121951,28420.0,2231.0,5126.0,21063.0,345742.0,3699.0,0.061583766277634025,0.15874615315118065,0.15508247287987817,0.137050160951005,0.7846515139341126,0.14665728360309638,-0.06095921111609148,0.9767850175575498,-0.03337606228932244,0.37686772217433806,0.4268721276020546
2020-05-08,1283929,77180,198993.0,1007756.0,8408788.0,142037.0,328000000,0.025636548780487805,0.00391441768292683,26906.0,1518.0,3957.0,21431.0,303275.0,6861.0,0.061399035658058765,0.15830497930427684,0.15268894875218642,0.14094383958021584,0.7849000996161003,-0.056269976956812684,-0.4696969696969697,-0.2954258276472075,0.017171387242779113,-0.14002802736790043,0.46086576300830784
2020-05-09,1309550,78795,212534.0,1018221.0,8709630.0,147212.0,328000000,0.02655375,0.003992530487804878,25621.0,1615.0,13541.0,10465.0,300842.0,5175.0,0.061370215954309,0.165534075482367,0.15035655934867498,0.14457765062790887,0.7775350311175595,-0.05015417040708803,0.06006191950464401,0.7077763828373089,-1.0478738652651698,-0.008087301640063549,-0.3257971014492753
2020-05-10,1329260,79526,216169.0,1033565.0,8987524.0,144780.0,328000000,0.027400987804878048,0.004052621951219512,19710.0,731.0,3635.0,15344.0,277894.0,-2432.0,0.06072773089992745,0.16507120766675576,0.14790057862432412,0.14007827277432963,0.7775491626920241,-0.2998985286656519,-1.2093023255813953,-2.725171939477304,0.31797445255474455,-0.08257824926050938,3.127878289473684
2020-05-11,1347881,80682,232733.0,1034466.0,9382235.0,145981.0,328000000,0.028604375,0.004109393292682927,18621.0,1156.0,16564.0,901.0,394711.0,1201.0,0.06069692911845689,0.1750846335555121,0.14366310372741675,0.14111725276616147,0.7674757638100099,-0.05848235862735618,0.36764705882352944,0.7805481767688964,-16.0299667036626,0.2959557752380856,3.0249791840133224
2020-05-12,1369574,82376,230287.0,1056911.0,9637930.0,142861.0,328000000,0.029383932926829268,0.004175530487804878,21693.0,1694.0,-2446.0,22445.0,255695.0,-3120.0,0.06111518746832992,0.1708511359682346,0.14210250541350683,0.13516842950825567,0.7717078449211214,0.14161250172866824,0.31759149940968123,7.771872444807849,0.9598574292715527,-0.5436789925497174,1.3849358974358974
2020-05-13,1390406,84119,243430.0,1062857.0,9974831.0,149347.0,328000000,0.03041107012195122,0.004239042682926829,20832.0,1743.0,13143.0,5946.0,336901.0,6486.0,0.06141982835538642,0.1777413998805468,0.13939143430099216,0.14051466942401472,0.764422046510156,-0.04133064516129026,0.028112449799196804,1.186106672753557,-2.7748065926673395,0.2410381684827293,1.481036077705828
2020-05-14,1417774,85898,246414.0,1085462.0,10341775.0,152396.0,328000000,0.031529801829268296,0.004322481707317073,27368.0,1779.0,2984.0,22605.0,366944.0,3049.0,0.06177907747808913,0.17722449414056038,0.13709194021335797,0.1403973607551439,0.7656100337571432,0.23881905875475007,0.0202360876897133,-3.4044906166219837,0.7369608493696085,0.08187352838580275,-1.127254837651689
2020-05-15,1442824,87530,250747.0,1104547.0,10720185.0,153866.0,328000000,0.032683490853658535,0.004398853658536585,25050.0,1632.0,4333.0,19085.0,378410.0,1470.0,0.06173762531969129,0.17685964053509234,0.1345894683720477,0.13930235653168221,0.7655452085632066,-0.09253493013972047,-0.09007352941176472,0.3113316408954535,-0.18443804034582123,0.030300467746623982,-1.0741496598639455
2020-05-16,1467820,88754,268376.0,1110690.0,11077179.0,155726.0,328000000,0.033771887195121954,0.0044750609756097565,24996.0,1224.0,17629.0,6143.0,356994.0,1860.0,0.06151408626415973,0.18600744096300034,0.1325084662800881,0.14020653827800736,0.7566936000327016,-0.002160345655304763,-0.33333333333333326,0.7542118100856543,-2.106788214227576,-0.05998980375020313,0.20967741935483875
2020-05-17,1486757,89562,272265.0,1124930.0,11499203.0,156905.0,328000000,0.035058545731707316,0.004532795731707317,18937.0,808.0,3889.0,14240.0,422024.0,1179.0,0.061017018435502994,0.18548936518101675,0.12929217790137282,0.13947978985359089,0.7566333973877372,-0.3199556423931984,-0.5148514851485149,-3.533041913088198,0.5686095505617977,0.15409076261065724,-0.5776081424936388
2020-05-18,1508308,90347,283178.0,1134783.0,11834508.0,157963.0,328000000,0.036080817073170734,0.0045985,21551.0,785.0,10913.0,9853.0,335305.0,1058.0,0.06076783226848772,0.1904669021232118,0.12744999623136002,0.1392010631107445,0.7523549566799353,0.1212936754674957,-0.029299363057324834,0.643636030422432,-0.4452451030143103,-0.25862721999373695,-0.11436672967863903
2020-05-19,1528568,91921,289392.0,1147255.0,12233987.0,159634.0,328000000,0.03729874085365854,0.004660268292682927,20260.0,1574.0,6214.0,12472.0,399479.0,1671.0,0.06094312302261872,0.19186532193689884,0.12494438648659673,0.13914430532009012,0.7505423376650564,-0.06372161895360318,0.5012706480304956,-0.7561956871580302,0.20999037844772295,0.16064423912145565,0.3668461998803112
2020-05-20,1551853,93439,294312.0,1164102.0,12647791.0,161616.0,328000000,0.038560338414634146,0.004731259146341463,23285.0,1518.0,4920.0,16847.0,413804.0,1982.0,0.06112845486756232,0.19254099261531055,0.12269755248169423,0.13883319502930155,0.7501367719751807,0.12991196048958553,-0.03689064558629784,-0.26300813008130075,0.2596901525494153,0.03461783839692223,0.156912209889001
2020-05-21,1577147,94702,298418.0,1184027.0,13056206.0,166254.0,328000000,0.03980550609756098,0.004808375,25294.0,1263.0,4106.0,19925.0,408415.0,4638.0,0.06102510998142221,0.19229785295385582,0.1207967306888387,0.14041402772065165,0.7507397851944049,0.07942595081837589,-0.20190023752969122,-0.198246468582562,0.15447929736511923,-0.013194912038000606,0.5726606295817163
2020-05-22,1600937,95979,350135.0,1154823.0,13398624.0,170697.0,328000000,0.04084946341463415,0.004880905487804878,23790.0,1277.0,51717.0,-29204.0,342418.0,4443.0,0.06085609014251683,0.22200530451505154,0.11948517997071938,0.14781226213887322,0.7213419391268988,-0.0632198402690205,0.01096319498825371,0.9206063770133612,1.6822695521161486,-0.19273811540281183,-0.04388926401080351
2020-05-23,1622612,97087,361239.0,1164286.0,13784786.0,172037.0,328000000,0.042026786585365856,0.004946987804878049,21675.0,1108.0,11104.0,9463.0,386162.0,1340.0,0.06064386043923028,0.22564223326714292,0.11771035110737302,0.14776180423023208,0.7175381422052838,-0.09757785467128022,-0.15252707581227432,-3.6575108069164264,4.086124907534609,0.11327888295585786,-2.315671641791045
2020-05-24,1643246,97720,366736.0,1178790.0,14163915.0,172574.0,328000000,0.04318266768292683,0.005009896341463415,20634.0,633.0,5497.0,14504.0,379129.0,537.0,0.06022388593206509,0.2260158312646523,0.11601636976782197,0.14639927383164092,0.7173545531222958,-0.0504507124164002,-0.7503949447077409,-1.02001091504457,0.34755929398786545,-0.018550414238952984,-1.4953445065176907
